CODE,DESCRIPTION,MAJOR_CATEGORY,MINOR_CATEGORY
CRD18,Claim/Service has missing diagnosis information.,Provider Billing Error,Provider Billing Error/Diagnosis
CRD19,Claim/Service lacks Physician/Operative or other supporting documentation,Documentation/Attachments,Documentation/Attachments
CRD2,"Claim lacks the name, strength, or dosage of the drug furnished.",Coverage/Eligibility,Coverage/Eligibility
CRD20,Claim/Service missing service/product information.,Documentation/Attachments,Documentation/Attachments
CRD21,This (these) diagnosis(es) is (are) missing or are invalid,Provider Billing Error,Provider Billing Error/Diagnosis
CRD3,Claim/service denied because information to indicate if the patient owns the equipment that requires the part or supply was missing.,Coverage/Eligibility,Coverage/Eligibility
CRD4,Claim/service does not indicate the period of time for which this will be needed.,Documentation/Attachments,Documentation/Attachments
CRD5,Claim/service denied. Claim lacks individual lab codes included in the test.,Documentation/Attachments,Documentation/Attachments
CRD6,Claim/service denied. Claim did not include patient's medical record for the service.,Documentation/Attachments,Documentation/Attachments
CRD7,Claim/service denied. Claim lacks date of patient's most recent physician visit.,Documentation/Attachments,Documentation/Attachments
CRD8,Claim/service denied. Claim lacks indicator that 'x-ray is available for review.',Documentation/Attachments,Documentation/Attachments
CRD9,"Claim/service denied. Claim lacks invoice or statement certifying the actual cost of the lens, less discounts or the type of intraocular lens used.",Documentation/Attachments,Documentation/Attachments
CRW1,Workers Compensation State Fee Schedule Adjustment,Other Insurance,Coverage/Workers Comp
D3,The procedure code is inconsistent with the provider type/specialty (taxonomy).,Provider Billing Error,Provider Billing Error/Coding
DM1,Procedure is not paid separately,Patient Responsibility,Patient Responsibility/Deductible
DN,Charges previously considered.,Payer Specific,Other/Unspecified
DN001,PAYMNT ADJUSTMNT TO PREV CLAIM,Payer Specific,Other/Unspecified
DN017,Denied: Place of service inappropriate for procedure.,Provider Billing Error,Provider Billing Error/POS
DN018,Missing address and/or zip code of the pickup location.,Payer Specific,Other/Unspecified
DN026,No patient responsibiliy shown on primary EOB.,Payer Specific,Other/Unspecified
DN045,The VA is without sufficient evidence that this ambulance transport was related to care or services for which the Veteran is eligible. Please resubmit claim with an Ambulance trip report.,Documentation/Attachments,Documentation/Attachments
DN078,Payment is denied when performed/billed by this type of provider.,Payer Specific,Other/Unspecified
DNAMB,MEDICARE DISALLOWED SERVICE,Payer Specific,Other/Unspecified
DNNPR,Denied:exact duplicate of another claim or service.,Provider Billing Error,Provider Billing Error/Duplicate
DNTOB,"Denied, Please Submit Explanation Documentation from No Fault Carrier",Documentation/Attachments,Documentation/Attachments
E07,INVALID INFORMATION RECEIVED,Payer Specific,Other/Unspecified
E7C,Not paid to practitioner when provided to patient in this place of service. Payment included in the reimbursement issued the facility.,Provider Billing Error,Provider Billing Error/POS
E7N,21-Denied. Eligible for no fault.,Other Insurance,COB/No Fault
EAC,"Denied, No Reply from Subscriber; Other insurance.",COB/Other Payer,COB/Other Payer
ECW,"Denial is made due to non-comliance with the mandatory personal injury protection endorsement. ""Proof of Claim"" which states, in part, the eligible injurd person shall submit to medical examination by physicians selected by, or acceptable to the company.",COB/Other Payer,COB/Other Payer
EES,Denied - Submit to Medicaid,COB/Other Payer,COB/Other Payer
EHS,No Fault - policy not in force on date of service.,Other Insurance,COB/No Fault
EIN,Denied for Workers Compensation,Other Insurance,Coverage/Workers Comp
EL,Payment included in the allowance of another service.,Payer Specific,Other/Unspecified
EOM,The procedure code is inconsistent with the modifier used or a required modifier is missing.,Provider Billing Error,Provider Billing Error/Modifier
EU,Ambulance related information needed,Coverage/Eligibility,Coverage/Transport
EWN,Multiple physicians/assistants are not covered in this case .,Payer Specific,Other/Unspecified
EXDUC,Denied: not a covered benefit or exceeded the benefit limit,Payer Specific,Other/Unspecified
G52,AS BEEN FORWARDED TO THEM FOR AD,COB/Other Payer,COB/Other Payer
GA1,"This (these) diagnosis(es) is (are) not covered, missing, or are invalid.",Provider Billing Error,Provider Billing Error/Diagnosis
GA3,Service Paid Current or Previously Conflicting Claim,Payer Specific,Other/Unspecified
GA7,Payment made to patient/insured/responsible party.,Payer Specific,Other/Unspecified
GSK,Initial decision upheld,Payer Specific,Other/Unspecified
H-ERS100,ERISA Timely Filing Denials,Appeals/Timely Filing,Appeals/Timely Filing
H-MCR100,No acknowledgement of claims and disputes,Payer Specific,Other/Unspecified
H-MCR101,Appeal levels exhausted; arbitration letter recvd,Payer Specific,Other/Unspecified
H-MCR102,Claim in review,Payer Specific,Other/Unspecified
H-MCR103,Awaiting claim from other provider,Pending/Processing,Pending/Review
H-MCR104,No balance billing allowed,Payer Specific,Other/Unspecified
H-MCR105,HMO claim is pending-violation of prompt pay law,Pending/Processing,Pending/Review
H-MCR106,Disagreement of care/out of service area,Payer Specific,Other/Unspecified
H-MCR107,Mcare er medical necessity denials,Medical Necessity/Review,Medical Necessity/Review
H-MCR108,Faxed claims not allowed,Payer Specific,Other/Unspecified
H-MCR109,Claim bundling,Payer Specific,Other/Unspecified
H-MCR110,No MCARE HMO interest paid on late payments,Payer Specific,Other/Unspecified
H-MCR112,Medical necessity reduced level of care,Medical Necessity/Review,Medical Necessity/Review
H-MCR114,No claims on file,Payer Specific,Other/Unspecified
H-MCR115,Pre-existing conditions,Payer Specific,Other/Unspecified
H-MCR116,Providier dispute form necessary,Payer Specific,Other/Unspecified
H-MCR117,Refund requests,Refund/Recovery,Refund/Recovery
H-MCR118,Requests for insignificant information,Payer Specific,Other/Unspecified
H-MCR119,Retroactive denials for authorized care,Payer Specific,Other/Unspecified
H-MCR120,Mcare time for reimbursing & contesting er claims,Payer Specific,Other/Unspecified
H-MCR121,Time for reimbursing & contesting non er claims,Payer Specific,Other/Unspecified
H-MCR122,Time for reimbursing overturned decisions,Payer Specific,Other/Unspecified
H-MCR123,Time for resolving dsputes & written determination,Payer Specific,Other/Unspecified
H-MCR124,Mcare timely filing denials,Appeals/Timely Filing,Appeals/Timely Filing
H-MCR125,Unauthorized treatment denials,Payer Specific,Other/Unspecified
H-MCR126,Medicare HMO underpayments & ucr reductions,Contractual/Payment,Contractual/UCR
H-MCR127,Additional Information Req,Payer Specific,Other/Unspecified
H-MCR128,Bankruptcy Filed,Payer Specific,Other/Unspecified
H-MCR129,Charges exceed fee schedule; Max allowable,Contractual/Payment,Contractual/UCR
H-MCR131,HMO Claim is pending-violation of prompt pay law,Pending/Processing,Pending/Review
H-MCR132,HMO ER medical necessity denials,Medical Necessity/Review,Medical Necessity/Review
H-MCR133,HMO Time for reimbursing and contesting ER claims,Payer Specific,Other/Unspecified
H-MCR134,HMO Timely filing denials,Appeals/Timely Filing,Appeals/Timely Filing
H-MCR135,HMO Underpayments and UCR Reductions,Contractual/Payment,Contractual/UCR
H-MCR137,Provider dispute form necessary,Payer Specific,Other/Unspecified
H-MCR138,No HMO interest paid on late payments,Payer Specific,Other/Unspecified
H05,Charges non-covered,Payer Specific,Other/Unspecified
H09,Another carrier handles services with vendor.,Payer Specific,Other/Unspecified
H15,11-ITS-Services for diagnosis reported are not a benefit.,Provider Billing Error,Provider Billing Error/Diagnosis
H20,Payment is denied when performed/billed by this type of provider in this type of facility.,Payer Specific,Other/Unspecified
H56,Previously paid. Payment for this claim/service may have been provided in a previous payment.,Provider Billing Error,Provider Billing Error/Duplicate
H7F,COINSURANCE AMOUNT,Patient Responsibility,Patient Responsibility/Coinsurance
H7L,THE DIAGNOSIS IS INCONSISTENT WITH THE PATIENT'S AGE.,Provider Billing Error,Provider Billing Error/Diagnosis
HBC,Premium not paid to date.,Payer Specific,Other/Unspecified
HHH,16-ITS-Denied. Please submit a rejection notice or Explanation Benefits statement from primary carrier.,Payer Specific,Other/Unspecified
HIC,Hospital Inpatient Controversy.,Payer Specific,Other/Unspecified
HM0,Service not related to work injury,Payer Specific,Other/Unspecified
HN300,SERVICE CAPITATED TO MEMBERS IPA,Payer Specific,Other/Unspecified
HN308,SERVICE CAPITATED TO FACILITY,Payer Specific,Other/Unspecified
HN309,PLAN RISK SERVICE,Payer Specific,Other/Unspecified
HOS1,PAID PER APPROVED RETRO AUTH,Payer Specific,Other/Unspecified
HOS2,RECOVERY WRITE OFF,Refund/Recovery,Refund/Recovery
HOS3,Diagnosis code is invalid,Provider Billing Error,Provider Billing Error/Diagnosis
HRF,204-Procedure is not covered because the patient's contract contains specific exculsion for conditions/services reported.,Payer Specific,Other/Unspecified
HRG,242-ITS-Benefits are not provided for services obtained from non-participating providers per member's benefit plan.,Payer Specific,Other/Unspecified
HRN,EW,Payer Specific,Other/Unspecified
HRR,Deny no authorization on file.,Authorization/Precert,Authorization/Precert
HU1,ITS-This claim is a duplicate to a Medicare Crossover Claim.,Provider Billing Error,Provider Billing Error/Duplicate
HZ4,Services not covered because the patient is enrolled in a Hospice.,Coverage/Eligibility,Coverage/Hospice
